config,physical_machines,services,generations,alpha,beta,latency,energy,placement_physical,placement_vm
config-1,67,24,200,0.6,0.4,25061.165396743672,10198.946028810837,"[9, 61, 13, 48, 20, 29, 38, 65, 8, 31, 54, 13, 3, 59, 7, 37, 24, 30, 20, 6, 62, 41, 37, 60]","[0, 1, 2, 3, 0, 1, 2, 3, 1, 0, 1, 2, 3, 0, 1, 2, 3, 4, 0, 0, 1, 2, 0, 2]"
config-1,67,24,200,0.7,0.3,25173.65035704139,9864.988554823643,"[3, 13, 40, 14, 20, 45, 20, 37, 21, 1, 59, 51, 6, 30, 19, 42, 62, 21, 20, 48, 46, 28, 26, 47]","[0, 1, 2, 3, 4, 0, 0, 2, 3, 4, 0, 0, 1, 0, 1, 2, 1, 2, 4, 0, 1, 2, 3, 1]"
config-1,67,24,200,0.8,0.2,25503.27860449398,10409.501095248657,"[31, 11, 4, 33, 37, 48, 52, 7, 40, 48, 30, 1, 40, 60, 64, 37, 60, 63, 65, 6, 37, 29, 52, 47]","[0, 1, 2, 3, 1, 2, 0, 0, 1, 2, 3, 0, 0, 1, 2, 3, 0, 1, 2, 0, 0, 1, 2, 1]"
config-1,67,24,200,0.9,0.1,25040.042063924826,11550.122271219376,"[3, 10, 66, 37, 14, 42, 39, 37, 60, 3, 43, 48, 31, 9, 13, 33, 16, 49, 49, 14, 34, 37, 18, 20]","[0, 1, 2, 3, 4, 0, 0, 1, 2, 4, 0, 0, 1, 2, 3, 4, 0, 1, 2, 3, 1, 2, 0, 0]"
config-2,57,46,10,0.1,0.9,84472.23313791062,15169.504540167978,"[55, 52, 2, 38, 11, 41, 46, 25, 37, 26, 26, 17, 22, 52, 35, 13, 12, 45, 12, 42, 7, 29, 21, 42, 40, 16, 32, 39, 6, 54, 48, 47, 2, 55, 16, 8, 0, 22, 23, 40, 8, 36, 30, 56, 27, 40]","[0, 1, 2, 0, 1, 0, 1, 3, 0, 1, 2, 3, 3, 0, 1, 0, 0, 1, 0, 0, 1, 2, 0, 1, 2, 1, 0, 0, 1, 0, 1, 2, 3, 4, 0, 1, 0, 1, 2, 3, 4, 0, 1, 2, 3, 4]"
config-2,57,46,10,0.2,0.8,75711.92529212934,15709.841272450956,"[28, 0, 42, 15, 44, 23, 7, 51, 44, 43, 40, 42, 30, 13, 28, 18, 3, 47, 22, 22, 10, 43, 27, 17, 19, 37, 44, 30, 5, 10, 26, 22, 2, 55, 16, 12, 5, 51, 27, 8, 39, 27, 50, 7, 1, 24]","[0, 1, 0, 1, 2, 3, 4, 0, 1, 0, 3, 0, 2, 0, 0, 1, 2, 3, 4, 0, 0, 1, 2, 3, 4, 0, 1, 0, 0, 1, 2, 2, 3, 0, 1, 2, 3, 0, 1, 2, 0, 2, 3, 0, 1, 0]"
config-2,57,46,10,0.3,0.7,73276.17236910552,15192.734970529444,"[3, 44, 28, 49, 56, 12, 42, 26, 16, 56, 43, 2, 31, 48, 29, 4, 36, 52, 27, 44, 39, 43, 4, 11, 2, 20, 46, 46, 13, 25, 26, 27, 6, 44, 26, 38, 11, 25, 20, 14, 15, 27, 29, 40, 1, 28]","[0, 0, 0, 1, 0, 3, 0, 1, 0, 1, 0, 1, 2, 0, 1, 2, 4, 0, 1, 0, 1, 2, 1, 0, 1, 3, 4, 3, 3, 0, 0, 1, 2, 3, 0, 1, 3, 1, 2, 1, 1, 2, 0, 1, 0, 1]"
config-2,57,46,10,0.4,0.6,72963.10296672715,17490.211908929054,"[18, 18, 10, 47, 36, 27, 18, 6, 7, 13, 36, 56, 28, 14, 2, 48, 23, 33, 53, 48, 53, 53, 55, 30, 31, 10, 1, 20, 16, 48, 29, 10, 30, 33, 16, 1, 0, 56, 5, 14, 43, 16, 2, 26, 44, 8]","[0, 2, 3, 0, 2, 3, 0, 1, 0, 1, 0, 1, 2, 3, 0, 1, 0, 1, 2, 0, 2, 0, 1, 2, 3, 0, 1, 0, 1, 0, 0, 1, 2, 0, 1, 0, 1, 2, 3, 4, 1, 2, 0, 0, 2, 3]"
config-2,57,46,10,0.5,0.5,69841.0739625972,16250.378371383624,"[52, 23, 54, 46, 46, 16, 50, 32, 20, 37, 34, 6, 30, 0, 14, 23, 7, 13, 35, 13, 6, 32, 31, 48, 46, 24, 9, 34, 8, 52, 0, 31, 21, 2, 25, 17, 50, 32, 0, 20, 10, 38, 19, 54, 29, 4]","[0, 3, 0, 2, 0, 1, 2, 0, 0, 1, 2, 3, 4, 0, 1, 2, 0, 1, 2, 3, 4, 0, 2, 0, 1, 0, 0, 0, 2, 3, 1, 2, 4, 1, 0, 1, 2, 2, 0, 1, 2, 0, 1, 2, 1, 2]"
config-2,57,46,10,0.6,0.4,71358.71044527677,16858.508853033418,"[51, 1, 24, 24, 43, 20, 9, 27, 51, 27, 30, 56, 21, 6, 29, 10, 2, 52, 54, 0, 26, 25, 14, 50, 7, 20, 4, 41, 13, 52, 46, 38, 48, 7, 31, 32, 33, 2, 52, 12, 51, 50, 44, 35, 0, 18]","[0, 1, 0, 1, 0, 1, 3, 4, 0, 1, 2, 3, 0, 1, 2, 3, 0, 1, 3, 1, 2, 0, 1, 2, 1, 0, 1, 3, 4, 0, 1, 2, 0, 1, 0, 1, 2, 0, 0, 1, 2, 3, 4, 0, 2, 3]"
