config,physical_machines,services,generations,alpha,beta,latency,energy,placement_physical,placement_vm
config-1,4,24,100,0.8,0.2,580548.0191378382,806.7287835749491,"[2, 2, 2, 2, 2, 3, 2, 2, 2, 0, 2, 2, 0, 3, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2]","[0, 1, 1, 0, 0, 0]"
config-1,4,24,100,0.9,0.1,580642.0130746571,815.1771469495607,"[2, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 2, 0, 0, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2]","[0, 1, 0, 0, 1, 0]"
config-1,4,24,200,0.1,0.9,580622.5324683179,813.6391932555712,"[2, 2, 2, 2, 2, 1, 2, 2, 2, 3, 2, 2, 0, 0, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2]","[0, 0, 0, 0, 1, 1]"
config-1,4,24,200,0.2,0.8,580528.538531499,805.1908298809597,"[2, 2, 2, 2, 2, 1, 2, 2, 2, 0, 2, 2, 0, 3, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2]","[0, 0, 1, 0, 0, 1]"
config-1,4,24,200,0.3,0.7,580528.538531499,805.1908298809597,"[2, 2, 2, 2, 2, 1, 2, 2, 2, 0, 2, 2, 0, 3, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2]","[0, 0, 1, 0, 0, 1]"
config-1,4,24,200,0.4,0.6,580661.9853794095,817.1203401335775,"[2, 2, 2, 2, 2, 3, 2, 2, 2, 1, 2, 2, 0, 0, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2]","[0, 1, 0, 0, 1, 0]"
config-1,4,24,200,0.5,0.5,580642.0130746571,815.1771469495607,"[2, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 2, 0, 0, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2]","[0, 1, 0, 0, 1, 0]"
config-1,4,24,200,0.6,0.4,580648.411242104,816.6199132690372,"[2, 2, 2, 2, 2, 1, 2, 2, 2, 3, 2, 2, 0, 3, 2, 2, 2, 2, 2, 0, 2, 2, 2, 2]","[0, 0, 0, 0, 1, 1]"
config-1,4,24,200,0.7,0.3,580642.0130746571,815.1771469495607,"[2, 2, 2, 2, 2, 3, 2, 2, 2, 3, 2, 2, 0, 0, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2]","[0, 1, 0, 0, 1, 0]"
config-1,4,24,200,0.8,0.2,580677.2215618409,819.2324643792017,"[2, 2, 2, 2, 2, 0, 2, 2, 2, 3, 2, 2, 0, 3, 2, 2, 2, 2, 2, 1, 2, 2, 2, 2]","[0, 1, 0, 0, 1, 0]"
config-1,4,24,200,0.9,0.1,580622.5324683179,813.6391932555712,"[2, 2, 2, 2, 2, 1, 2, 2, 2, 3, 2, 2, 0, 0, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2]","[0, 0, 0, 0, 1, 1]"
config-2,5,46,10,0.1,0.9,738588.7439381712,1390.5688383341237,"[1, 4, 0, 2, 2, 4, 4, 4, 4, 4, 0, 4, 2, 2, 4, 2, 3, 4, 4, 4, 4, 3, 2, 4, 0, 3, 2, 4, 3, 4, 4, 4, 2, 3, 2, 4, 2, 4, 4, 4, 0, 4, 4, 0, 4, 2]","[0, 0, 0, 0, 0, 1, 0, 1, 3, 1]"
config-2,5,46,10,0.2,0.8,745324.0270844819,1471.8621468797173,"[4, 2, 2, 0, 2, 4, 0, 4, 4, 2, 4, 4, 0, 3, 4, 4, 2, 1, 4, 4, 1, 4, 2, 4, 3, 3, 4, 4, 4, 2, 2, 4, 4, 0, 4, 3, 3, 2, 4, 0, 2, 2, 4, 2, 4, 4]","[0, 0, 0, 0, 1, 0, 1, 1, 1, 0]"
config-2,5,46,10,0.3,0.7,754924.7538102038,1699.5462612006622,"[2, 3, 4, 2, 2, 4, 4, 2, 0, 4, 4, 2, 4, 1, 4, 4, 0, 4, 0, 4, 4, 3, 2, 4, 3, 0, 4, 2, 2, 4, 0, 4, 2, 3, 4, 4, 1, 2, 4, 2, 0, 3, 0, 2, 2, 4]","[0, 1, 0, 0, 0, 1, 0, 1, 1, 0, 2]"
config-2,5,46,10,0.4,0.6,734881.6751650902,1631.7637904738713,"[2, 4, 4, 3, 4, 2, 2, 4, 1, 2, 4, 2, 2, 3, 4, 4, 1, 3, 4, 4, 2, 4, 2, 2, 0, 2, 2, 0, 4, 4, 2, 4, 4, 4, 4, 2, 2, 4, 4, 3, 0, 4, 4, 4, 0, 0]","[0, 0, 1, 0, 0, 3, 0, 0, 1, 1, 1]"
config-2,5,46,10,0.5,0.5,745964.9997917265,1367.3651142988942,"[2, 3, 4, 4, 4, 4, 0, 4, 2, 2, 4, 2, 1, 4, 2, 4, 2, 3, 4, 4, 2, 2, 2, 2, 2, 4, 2, 2, 1, 2, 4, 4, 4, 0, 3, 2, 0, 4, 4, 3, 2, 4, 2, 2, 0, 3]","[0, 1, 0, 0, 2, 0, 1, 1, 0, 1]"
config-2,5,46,10,0.6,0.4,724833.3758212985,1379.998890441922,"[4, 4, 4, 3, 4, 2, 4, 2, 0, 2, 2, 2, 0, 2, 4, 0, 3, 4, 4, 4, 4, 4, 4, 4, 0, 4, 4, 4, 4, 2, 2, 4, 4, 4, 1, 4, 3, 0, 4, 3, 4, 2, 4, 2, 0, 2]","[1, 0, 0, 0, 0, 1, 0, 0, 1]"
config-2,5,46,10,0.7,0.3,719286.264350372,1225.8005868551763,"[0, 2, 2, 4, 4, 2, 4, 2, 4, 2, 4, 4, 4, 3, 4, 2, 3, 2, 2, 4, 4, 2, 3, 4, 4, 2, 2, 4, 1, 4, 4, 4, 0, 4, 4, 4, 3, 0, 2, 0, 4, 4, 2, 2, 4, 4]","[0, 0, 1, 0, 0, 1, 0, 1, 1]"
config-2,5,46,10,0.8,0.2,727283.8329714374,1461.0705740553371,"[4, 1, 2, 4, 4, 4, 4, 2, 2, 3, 4, 4, 2, 4, 2, 2, 0, 4, 2, 2, 0, 2, 4, 2, 2, 2, 2, 4, 3, 4, 4, 0, 4, 3, 4, 4, 4, 4, 2, 2, 4, 4, 4, 2, 4, 3]","[0, 0, 1, 0, 0, 1, 2, 0, 1, 0]"
config-2,5,46,10,0.9,0.1,738891.611559217,1501.4468030006133,"[2, 4, 4, 4, 4, 2, 2, 4, 0, 4, 2, 2, 2, 3, 4, 4, 4, 0, 4, 2, 3, 4, 4, 2, 0, 4, 4, 0, 4, 4, 2, 2, 2, 0, 4, 0, 2, 1, 3, 3, 4, 4, 2, 4, 4, 0]","[0, 1, 1, 0, 0, 0, 1, 1, 0, 1]"
